ensembl_transcript_id	transcript_biotype	hgnc_symbol	description	entrezgene_id
ENSAPLT00020010465	protein_coding	MGAT3	beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase [Source:NCBI gene;Acc:101794219]	101794219
ENSAPLT00020010466	protein_coding	CRISPLD1	cysteine rich secretory protein LCCL domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18206]	NA
ENSAPLT00020010467	protein_coding	ABCC5	ATP binding cassette subfamily C member 5 [Source:HGNC Symbol;Acc:HGNC:56]	NA
ENSAPLT00020010468	protein_coding	CCDC191	coiled-coil domain containing 191 [Source:HGNC Symbol;Acc:HGNC:29272]	NA
ENSAPLT00020010469	protein_coding	SERPINA10	serpin family A member 10 [Source:NCBI gene;Acc:101803378]	101803378
ENSAPLT00020010470	protein_coding	CRISPLD1	cysteine rich secretory protein LCCL domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18206]	NA
ENSAPLT00020010471	protein_coding	RHOF	ras homolog family member F, filopodia associated [Source:HGNC Symbol;Acc:HGNC:15703]	NA
ENSAPLT00020010472	protein_coding	FAT1	FAT atypical cadherin 1 [Source:NCBI gene;Acc:101801145]	101801145
ENSAPLT00020010473	protein_coding			NA
ENSAPLT00020010474	protein_coding	TAB1	TGF-beta activated kinase 1 (MAP3K7) binding protein 1 [Source:NCBI gene;Acc:101793675]	101793675
ENSAPLT00020010475	protein_coding	RNMT	RNA guanine-7 methyltransferase [Source:HGNC Symbol;Acc:HGNC:10075]	NA
ENSAPLT00020010476	protein_coding	RHOF	ras homolog family member F, filopodia associated [Source:HGNC Symbol;Acc:HGNC:15703]	NA
ENSAPLT00020010477	protein_coding	FAT1	FAT atypical cadherin 1 [Source:NCBI gene;Acc:101801145]	101801145
ENSAPLT00020010478	protein_coding			NA
ENSAPLT00020010479	protein_coding	ZDHHC23	zinc finger DHHC-type palmitoyltransferase 23 [Source:NCBI gene;Acc:101791964]	101791964
ENSAPLT00020010480	protein_coding	PI15	peptidase inhibitor 15 [Source:NCBI gene;Acc:101797261]	101797261
ENSAPLT00020010481	protein_coding	ZDHHC23	zinc finger DHHC-type palmitoyltransferase 23 [Source:NCBI gene;Acc:101791964]	101791964
ENSAPLT00020010482	protein_coding	RNPEPL1	arginyl aminopeptidase like 1 [Source:HGNC Symbol;Acc:HGNC:10079]	NA
ENSAPLT00020010483	protein_coding	SYNGR1	synaptogyrin 1 [Source:NCBI gene;Acc:101795102]	101795102
ENSAPLT00020010484	protein_coding	FAT1	FAT atypical cadherin 1 [Source:NCBI gene;Acc:101801145]	101801145
ENSAPLT00020010485	protein_coding	SC5D	sterol-C5-desaturase [Source:HGNC Symbol;Acc:HGNC:10547]	NA
ENSAPLT00020010486	protein_coding	ZDHHC23	zinc finger DHHC-type palmitoyltransferase 23 [Source:NCBI gene;Acc:101791964]	101791964
ENSAPLT00020010488	protein_coding	PPP4R4	protein phosphatase 4 regulatory subunit 4 [Source:HGNC Symbol;Acc:HGNC:23788]	NA
ENSAPLT00020010489	protein_coding	MC5R	melanocortin 5 receptor [Source:NCBI gene;Acc:101798376]	101798376
ENSAPLT00020010490	protein_coding			NA
ENSAPLT00020010491	protein_coding	SYNGR1	synaptogyrin 1 [Source:NCBI gene;Acc:101795102]	101795102
ENSAPLT00020010492	protein_coding	SETD1B	SET domain containing 1B, histone lysine methyltransferase [Source:HGNC Symbol;Acc:HGNC:29187]	NA
ENSAPLT00020010493	protein_coding	GDAP1	ganglioside induced differentiation associated protein 1 [Source:HGNC Symbol;Acc:HGNC:15968]	NA
ENSAPLT00020010494	protein_coding	MC2R	melanocortin 2 receptor [Source:HGNC Symbol;Acc:HGNC:6930]	NA
ENSAPLT00020010495	protein_coding		uncharacterized LOC106017354 [Source:NCBI gene;Acc:106017354]	106017354
ENSAPLT00020010496	protein_coding			NA
ENSAPLT00020010497	protein_coding	PPP4R4	protein phosphatase 4 regulatory subunit 4 [Source:HGNC Symbol;Acc:HGNC:23788]	NA
ENSAPLT00020010498	protein_coding	HPD	4-hydroxyphenylpyruvate dioxygenase [Source:NCBI gene;Acc:101803264]	101803264
ENSAPLT00020010499	protein_coding	RPL3	ribosomal protein L3 [Source:NCBI gene;Acc:101793495]	101793495
ENSAPLT00020010500	protein_coding	FAT1	FAT atypical cadherin 1 [Source:NCBI gene;Acc:101801145]	101801145
ENSAPLT00020010501	protein_coding		uncharacterized LOC106017354 [Source:NCBI gene;Acc:106017354]	106017354
ENSAPLT00020010502	protein_coding	JPH1	junctophilin 1 [Source:HGNC Symbol;Acc:HGNC:14201]	NA
ENSAPLT00020010503	protein_coding	CAPN10	calpain 10 [Source:NCBI gene;Acc:101798897]	101798897
ENSAPLT00020010504	protein_coding		uncharacterized LOC106017354 [Source:NCBI gene;Acc:106017354]	106017354
ENSAPLT00020010505	protein_coding	FAT1	FAT atypical cadherin 1 [Source:NCBI gene;Acc:101801145]	101801145
ENSAPLT00020010507	protein_coding		tubulin folding cofactor E like [Source:NCBI gene;Acc:101800776]	101800776
ENSAPLT00020010508	protein_coding	CDH7	cadherin 7 [Source:HGNC Symbol;Acc:HGNC:1766]	NA
ENSAPLT00020010509	snoRNA		small nucleolar RNA, C/D box 83A [Source:HGNC Symbol;Acc:HGNC:17131]	NA
ENSAPLT00020010512	protein_coding	LY96	lymphocyte antigen 96 [Source:HGNC Symbol;Acc:HGNC:17156]	NA
ENSAPLT00020010513	protein_coding		tubulin folding cofactor E like [Source:NCBI gene;Acc:101800776]	101800776
ENSAPLT00020010514	protein_coding		26S proteasome non-ATPase regulatory subunit 9 [Source:NCBI gene;Acc:101791953]	101791953
ENSAPLT00020010515	protein_coding	GRAMD1C	GRAM domain containing 1C [Source:HGNC Symbol;Acc:HGNC:25252]	NA
ENSAPLT00020010516	protein_coding	PDGFB	platelet derived growth factor subunit B [Source:HGNC Symbol;Acc:HGNC:8800]	NA
ENSAPLT00020010517	protein_coding	TMEM70	transmembrane protein 70 [Source:HGNC Symbol;Acc:HGNC:26050]	NA
ENSAPLT00020010519	protein_coding	PDGFB	platelet derived growth factor subunit B [Source:HGNC Symbol;Acc:HGNC:8800]	NA
ENSAPLT00020010520	protein_coding	CDH19	cadherin 19 [Source:HGNC Symbol;Acc:HGNC:1758]	NA
ENSAPLT00020010521	protein_coding	ELOC	elongin C [Source:NCBI gene;Acc:101790533]	101790533
ENSAPLT00020010522	protein_coding			NA
ENSAPLT00020010523	protein_coding	CFAP251	WD repeat domain 66 [Source:HGNC Symbol;Acc:HGNC:28506]	NA
ENSAPLT00020010525	protein_coding	MTNR1A	melatonin receptor 1A [Source:NCBI gene;Acc:101797746]	101797746
ENSAPLT00020010526	protein_coding		ubiquitin conjugating enzyme E2 W [Source:NCBI gene;Acc:101792772]	101792772
ENSAPLT00020010527	protein_coding	GRAMD1C	GRAM domain containing 1C [Source:HGNC Symbol;Acc:HGNC:25252]	NA
ENSAPLT00020010528	snRNA		U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]	NA
ENSAPLT00020010529	protein_coding	CBX6	chromobox 6 [Source:NCBI gene;Acc:113842656]	113842656
ENSAPLT00020010530	protein_coding			NA
ENSAPLT00020010531	protein_coding	TM9SF4	transmembrane 9 superfamily member 4 [Source:HGNC Symbol;Acc:HGNC:30797]	NA
ENSAPLT00020010532	protein_coding	F11	coagulation factor XI [Source:NCBI gene;Acc:101805242]	101805242
ENSAPLT00020010533	protein_coding			NA
ENSAPLT00020010534	protein_coding	CYP4V2	cytochrome P450 family 4 subfamily V member 2 [Source:HGNC Symbol;Acc:HGNC:23198]	NA
ENSAPLT00020010535	protein_coding	STAU2	staufen double-stranded RNA binding protein 2 [Source:NCBI gene;Acc:101790738]	101790738
ENSAPLT00020010536	protein_coding	NPTXR	neuronal pentraxin receptor [Source:NCBI gene;Acc:101796092]	101796092
ENSAPLT00020010537	protein_coding			NA
ENSAPLT00020010538	protein_coding			NA
ENSAPLT00020010539	protein_coding			NA
ENSAPLT00020010540	protein_coding	DDX24	DEAD-box helicase 24 [Source:NCBI gene;Acc:101803007]	101803007
ENSAPLT00020010541	protein_coding		phospholipase A2 [Source:NCBI gene;Acc:101798383]	101798383
ENSAPLT00020010542	protein_coding	BCL7A	BAF chromatin remodeling complex subunit BCL7A [Source:NCBI gene;Acc:101803657]	101803657
ENSAPLT00020010543	protein_coding			NA
ENSAPLT00020010544	protein_coding	NPTXR	neuronal pentraxin receptor [Source:NCBI gene;Acc:101796092]	101796092
ENSAPLT00020010545	protein_coding		phospholipase A2 [Source:NCBI gene;Acc:101798383]	101798383
ENSAPLT00020010546	protein_coding	BCL7A	BAF chromatin remodeling complex subunit BCL7A [Source:NCBI gene;Acc:101803657]	101803657
ENSAPLT00020010547	protein_coding	NPTXR	neuronal pentraxin receptor [Source:NCBI gene;Acc:101796092]	101796092
ENSAPLT00020010548	protein_coding	STAU2	staufen double-stranded RNA binding protein 2 [Source:NCBI gene;Acc:101790738]	101790738
ENSAPLT00020010550	protein_coding		phospholipase A2 [Source:NCBI gene;Acc:101798383]	101798383
ENSAPLT00020010551	protein_coding			NA
ENSAPLT00020010552	protein_coding			NA
ENSAPLT00020010553	protein_coding			NA
ENSAPLT00020010554	protein_coding	TRUB1	TruB pseudouridine synthase family member 1 [Source:HGNC Symbol;Acc:HGNC:16060]	NA
ENSAPLT00020010555	protein_coding	SPATA1	spermatogenesis associated 1 [Source:HGNC Symbol;Acc:HGNC:14682]	NA
ENSAPLT00020010556	protein_coding	TLR3	toll like receptor 3 [Source:HGNC Symbol;Acc:HGNC:11849]	NA
ENSAPLT00020010557	protein_coding	DNAL4	dynein axonemal light chain 4 [Source:NCBI gene;Acc:101799919]	101799919
ENSAPLT00020010558	protein_coding	CLDND1	claudin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:1322]	NA
ENSAPLT00020010559	protein_coding	ASB2	ankyrin repeat and SOCS box containing 2 [Source:NCBI gene;Acc:101802678]	101802678
ENSAPLT00020010560	protein_coding		dermatan sulfate epimerase like [Source:NCBI gene;Acc:101799874]	101799874
ENSAPLT00020010561	protein_coding	RDH10	retinol dehydrogenase 10 [Source:HGNC Symbol;Acc:HGNC:19975]	NA
ENSAPLT00020010562	protein_coding			NA
ENSAPLT00020010563	protein_coding	TLR3	toll like receptor 3 [Source:HGNC Symbol;Acc:HGNC:11849]	NA
ENSAPLT00020010564	protein_coding	ASB2	ankyrin repeat and SOCS box containing 2 [Source:NCBI gene;Acc:101802678]	101802678
ENSAPLT00020010565	protein_coding	SPATA1	spermatogenesis associated 1 [Source:HGNC Symbol;Acc:HGNC:14682]	NA
ENSAPLT00020010566	protein_coding	TLR3	toll like receptor 3 [Source:HGNC Symbol;Acc:HGNC:11849]	NA
ENSAPLT00020010567	protein_coding			NA
ENSAPLT00020010568	protein_coding	GPR15	G protein-coupled receptor 15 [Source:NCBI gene;Acc:101797907]	101797907
ENSAPLT00020010569	protein_coding	ASB2	ankyrin repeat and SOCS box containing 2 [Source:NCBI gene;Acc:101802678]	101802678
ENSAPLT00020010570	protein_coding	RPL7	ribosomal protein L7 [Source:NCBI gene;Acc:101791282]	101791282
ENSAPLT00020010571	protein_coding			NA
ENSAPLT00020010572	protein_coding	ASB2	ankyrin repeat and SOCS box containing 2 [Source:NCBI gene;Acc:101802678]	101802678
ENSAPLT00020010573	protein_coding	MLXIP	MLX interacting protein [Source:HGNC Symbol;Acc:HGNC:17055]	NA
ENSAPLT00020010574	protein_coding	GNG5	G protein subunit gamma 5 [Source:NCBI gene;Acc:101797913]	101797913
ENSAPLT00020010575	protein_coding			NA
ENSAPLT00020010576	protein_coding		Anas platyrhynchos apovitellenin-1-like (LOC101797718), mRNA. [Source:RefSeq mRNA;Acc:NM_001310364]	101797718
ENSAPLT00020010577	protein_coding	SBSPON	somatomedin B and thrombospondin type 1 domain containing [Source:NCBI gene;Acc:101791466]	101791466
ENSAPLT00020010578	protein_coding	MLXIP	MLX interacting protein [Source:HGNC Symbol;Acc:HGNC:17055]	NA
ENSAPLT00020010579	protein_coding	RPF1	ribosome production factor 1 homolog [Source:NCBI gene;Acc:101797724]	101797724
ENSAPLT00020010580	pseudogene			NA
ENSAPLT00020010581	protein_coding	ILDR1	immunoglobulin like domain containing receptor 1 [Source:HGNC Symbol;Acc:HGNC:28741]	NA
ENSAPLT00020010582	protein_coding	PRIMA1	proline rich membrane anchor 1 [Source:NCBI gene;Acc:101790600]	101790600
ENSAPLT00020010583	protein_coding	MLXIP	MLX interacting protein [Source:HGNC Symbol;Acc:HGNC:17055]	NA
ENSAPLT00020010584	protein_coding			NA
ENSAPLT00020010585	lncRNA			NA
ENSAPLT00020010586	protein_coding			NA
ENSAPLT00020010587	protein_coding			NA
ENSAPLT00020010588	protein_coding	DNASE2B	deoxyribonuclease 2 beta [Source:NCBI gene;Acc:101792648]	101792648
ENSAPLT00020010589	protein_coding	DNASE2B	deoxyribonuclease 2 beta [Source:NCBI gene;Acc:101792648]	101792648
ENSAPLT00020010590	protein_coding	TM9SF4	transmembrane 9 superfamily member 4 [Source:HGNC Symbol;Acc:HGNC:30797]	NA
ENSAPLT00020010591	protein_coding	DNASE2B	deoxyribonuclease 2 beta [Source:NCBI gene;Acc:101792648]	101792648
ENSAPLT00020010592	lncRNA			NA
ENSAPLT00020010593	protein_coding			NA
ENSAPLT00020010594	protein_coding	BTBD7	BTB domain containing 7 [Source:HGNC Symbol;Acc:HGNC:18269]	NA
ENSAPLT00020010595	lncRNA			NA
ENSAPLT00020010596	protein_coding			NA
ENSAPLT00020010597	protein_coding	TMBIM1	transmembrane BAX inhibitor motif containing 1 [Source:HGNC Symbol;Acc:HGNC:23410]	NA
ENSAPLT00020010598	protein_coding	TM9SF4	transmembrane 9 superfamily member 4 [Source:HGNC Symbol;Acc:HGNC:30797]	NA
ENSAPLT00020010600	protein_coding			NA
ENSAPLT00020010601	protein_coding	BTBD7	BTB domain containing 7 [Source:HGNC Symbol;Acc:HGNC:18269]	NA
ENSAPLT00020010602	lncRNA			NA
ENSAPLT00020010605	protein_coding		thioredoxin related transmembrane protein 3 [Source:NCBI gene;Acc:101802241]	101802241
ENSAPLT00020010606	protein_coding	B3GNT4	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:15683]	NA
ENSAPLT00020010607	protein_coding			NA
ENSAPLT00020010608	protein_coding			NA
ENSAPLT00020010609	protein_coding	B3GNT4	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:15683]	NA
ENSAPLT00020010610	protein_coding	EIF4E2	eukaryotic translation initiation factor 4E family member 2 [Source:NCBI gene;Acc:101789545]	101789545
ENSAPLT00020010611	protein_coding	PIKFYVE	phosphoinositide kinase, FYVE-type zinc finger containing [Source:HGNC Symbol;Acc:HGNC:23785]	NA
ENSAPLT00020010612	protein_coding	SORBS2	sorbin and SH3 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24098]	NA
ENSAPLT00020010613	protein_coding			NA
ENSAPLT00020010614	protein_coding	EIF4E2	eukaryotic translation initiation factor 4E family member 2 [Source:NCBI gene;Acc:101789545]	101789545
ENSAPLT00020010615	protein_coding	SAMD13	sterile alpha motif domain containing 13 [Source:NCBI gene;Acc:101792322]	101792322
ENSAPLT00020010616	protein_coding	BOC	BOC cell adhesion associated, oncogene regulated [Source:HGNC Symbol;Acc:HGNC:17173]	NA
ENSAPLT00020010617	protein_coding	TMBIM1	transmembrane BAX inhibitor motif containing 1 [Source:HGNC Symbol;Acc:HGNC:23410]	NA
ENSAPLT00020010618	protein_coding	PIKFYVE	phosphoinositide kinase, FYVE-type zinc finger containing [Source:HGNC Symbol;Acc:HGNC:23785]	NA
ENSAPLT00020010619	protein_coding			NA
ENSAPLT00020010620	protein_coding	TMEM251	transmembrane protein 251 [Source:NCBI gene;Acc:113843803]	113843803
ENSAPLT00020010621	protein_coding	TM9SF4	transmembrane 9 superfamily member 4 [Source:HGNC Symbol;Acc:HGNC:30797]	NA
ENSAPLT00020010622	lncRNA			NA
ENSAPLT00020010623	protein_coding			NA
ENSAPLT00020010624	protein_coding	TRUB1	TruB pseudouridine synthase family member 1 [Source:HGNC Symbol;Acc:HGNC:16060]	NA
ENSAPLT00020010625	protein_coding	ARL14	ADP ribosylation factor like GTPase 14 [Source:HGNC Symbol;Acc:HGNC:22974]	NA
ENSAPLT00020010626	lncRNA			NA
ENSAPLT00020010627	lncRNA			NA
ENSAPLT00020010628	protein_coding	CHRNG	cholinergic receptor nicotinic gamma subunit [Source:HGNC Symbol;Acc:HGNC:1967]	NA
ENSAPLT00020010629	lncRNA			NA
ENSAPLT00020010630	protein_coding	ITPK1	inositol-tetrakisphosphate 1-kinase [Source:NCBI gene;Acc:101801656]	101801656
ENSAPLT00020010631	protein_coding	SORBS2	sorbin and SH3 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24098]	NA
ENSAPLT00020010632	lncRNA			NA
ENSAPLT00020010633	protein_coding	PLAGL2	PLAG1 like zinc finger 2 [Source:NCBI gene;Acc:101792418]	101792418
ENSAPLT00020010634	protein_coding			NA
ENSAPLT00020010635	protein_coding	DNAJC10	DnaJ heat shock protein family (Hsp40) member C10 [Source:HGNC Symbol;Acc:HGNC:24637]	NA
ENSAPLT00020010636	protein_coding	CHGA	chromogranin A [Source:HGNC Symbol;Acc:HGNC:1929]	NA
ENSAPLT00020010637	protein_coding	POFUT1	protein O-fucosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:14988]	NA
ENSAPLT00020010638	protein_coding		protein kinase cAMP-activated catalytic subunit beta [Source:NCBI gene;Acc:101791856]	101791856
ENSAPLT00020010639	protein_coding	NEPRO	nucleolus and neural progenitor protein [Source:HGNC Symbol;Acc:HGNC:24496]	NA
ENSAPLT00020010640	protein_coding	DIABLO	diablo IAP-binding mitochondrial protein [Source:HGNC Symbol;Acc:HGNC:21528]	NA
ENSAPLT00020010641	protein_coding	NEPRO	nucleolus and neural progenitor protein [Source:HGNC Symbol;Acc:HGNC:24496]	NA
ENSAPLT00020010642	protein_coding	CHRND	cholinergic receptor nicotinic delta subunit [Source:HGNC Symbol;Acc:HGNC:1965]	NA
ENSAPLT00020010643	protein_coding		protein kinase cAMP-activated catalytic subunit beta [Source:NCBI gene;Acc:101791856]	101791856
ENSAPLT00020010644	protein_coding	DIABLO	diablo IAP-binding mitochondrial protein [Source:HGNC Symbol;Acc:HGNC:21528]	NA
ENSAPLT00020010645	protein_coding	SORBS2	sorbin and SH3 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24098]	NA
ENSAPLT00020010646	protein_coding	TAF13	TATA-box binding protein associated factor 13 [Source:NCBI gene;Acc:101790560]	101790560
ENSAPLT00020010647	protein_coding	GOLGA5	golgin A5 [Source:HGNC Symbol;Acc:HGNC:4428]	NA
ENSAPLT00020010648	protein_coding		protein kinase cAMP-activated catalytic subunit beta [Source:NCBI gene;Acc:101791856]	101791856
ENSAPLT00020010649	protein_coding	KIF3B	kinesin family member 3B [Source:NCBI gene;Acc:101791966]	101791966
ENSAPLT00020010650	protein_coding			NA
ENSAPLT00020010651	protein_coding	ITPR2	inositol 1,4,5-trisphosphate receptor type 2 [Source:HGNC Symbol;Acc:HGNC:6181]	NA
ENSAPLT00020010652	protein_coding			NA
ENSAPLT00020010653	protein_coding			NA
ENSAPLT00020010654	protein_coding	LGMN	legumain [Source:NCBI gene;Acc:101801019]	101801019
ENSAPLT00020010655	protein_coding	ITPR2	inositol 1,4,5-trisphosphate receptor type 2 [Source:HGNC Symbol;Acc:HGNC:6181]	NA
ENSAPLT00020010656	protein_coding	PRSS56	serine protease 56 [Source:HGNC Symbol;Acc:HGNC:39433]	NA
ENSAPLT00020010657	protein_coding	PDE1A	phosphodiesterase 1A [Source:HGNC Symbol;Acc:HGNC:8774]	NA
ENSAPLT00020010659	protein_coding	SORBS2	sorbin and SH3 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24098]	NA
ENSAPLT00020010660	protein_coding			NA
ENSAPLT00020010661	protein_coding	PDE1A	phosphodiesterase 1A [Source:HGNC Symbol;Acc:HGNC:8774]	NA
ENSAPLT00020010662	protein_coding	ITPR2	inositol 1,4,5-trisphosphate receptor type 2 [Source:HGNC Symbol;Acc:HGNC:6181]	NA
ENSAPLT00020010663	protein_coding			NA
ENSAPLT00020010665	protein_coding	DOK6	docking protein 6 [Source:HGNC Symbol;Acc:HGNC:28301]	NA
ENSAPLT00020010666	protein_coding			NA
ENSAPLT00020010667	protein_coding	RIN3	Ras and Rab interactor 3 [Source:HGNC Symbol;Acc:HGNC:18751]	NA
ENSAPLT00020010668	protein_coding	ITPR2	inositol 1,4,5-trisphosphate receptor type 2 [Source:HGNC Symbol;Acc:HGNC:6181]	NA
ENSAPLT00020010669	protein_coding			NA
ENSAPLT00020010670	protein_coding	ARL14	ADP ribosylation factor like GTPase 14 [Source:HGNC Symbol;Acc:HGNC:22974]	NA
ENSAPLT00020010671	protein_coding	DOK6	docking protein 6 [Source:HGNC Symbol;Acc:HGNC:28301]	NA
ENSAPLT00020010672	protein_coding			NA
ENSAPLT00020010673	protein_coding	ARL14	ADP ribosylation factor like GTPase 14 [Source:HGNC Symbol;Acc:HGNC:22974]	NA
ENSAPLT00020010674	protein_coding	ITPR2	inositol 1,4,5-trisphosphate receptor type 2 [Source:HGNC Symbol;Acc:HGNC:6181]	NA
ENSAPLT00020010675	protein_coding	SORBS2	sorbin and SH3 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24098]	NA
ENSAPLT00020010676	protein_coding	RIN3	Ras and Rab interactor 3 [Source:HGNC Symbol;Acc:HGNC:18751]	NA
ENSAPLT00020010677	protein_coding	SUN2	Sad1 and UNC84 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:14210]	NA
ENSAPLT00020010678	protein_coding	DOK6	docking protein 6 [Source:HGNC Symbol;Acc:HGNC:28301]	NA
ENSAPLT00020010679	protein_coding	B3GALNT1	beta-1,3-N-acetylgalactosaminyltransferase 1 (globoside blood group) [Source:HGNC Symbol;Acc:HGNC:918]	NA
ENSAPLT00020010680	protein_coding	DNMT3B	DNA methyltransferase 3 beta [Source:HGNC Symbol;Acc:HGNC:2979]	NA
ENSAPLT00020010681	protein_coding	ITPR2	inositol 1,4,5-trisphosphate receptor type 2 [Source:HGNC Symbol;Acc:HGNC:6181]	NA
ENSAPLT00020010682	protein_coding	ECEL1	endothelin converting enzyme like 1 [Source:HGNC Symbol;Acc:HGNC:3147]	NA
ENSAPLT00020010683	protein_coding	SUN2	Sad1 and UNC84 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:14210]	NA
ENSAPLT00020010684	protein_coding	SLC24A4	solute carrier family 24 member 4 [Source:HGNC Symbol;Acc:HGNC:10978]	NA
ENSAPLT00020010685	protein_coding	CD226	CD226 molecule [Source:HGNC Symbol;Acc:HGNC:16961]	NA
ENSAPLT00020010686	protein_coding	MAPRE1	microtubule associated protein RP/EB family member 1 [Source:NCBI gene;Acc:101791257]	101791257
ENSAPLT00020010687	protein_coding	ITPR2	inositol 1,4,5-trisphosphate receptor type 2 [Source:HGNC Symbol;Acc:HGNC:6181]	NA
ENSAPLT00020010689	protein_coding	PPM1L	protein phosphatase, Mg2+/Mn2+ dependent 1L [Source:NCBI gene;Acc:101805098]	101805098
ENSAPLT00020010690	protein_coding	TTLL7	tubulin tyrosine ligase like 7 [Source:HGNC Symbol;Acc:HGNC:26242]	NA
ENSAPLT00020010691	protein_coding	ITPR2	inositol 1,4,5-trisphosphate receptor type 2 [Source:HGNC Symbol;Acc:HGNC:6181]	NA
ENSAPLT00020010692	protein_coding	PPM1L	protein phosphatase, Mg2+/Mn2+ dependent 1L [Source:NCBI gene;Acc:101805098]	101805098
ENSAPLT00020010693	protein_coding	PDE1A	phosphodiesterase 1A [Source:HGNC Symbol;Acc:HGNC:8774]	NA
ENSAPLT00020010694	protein_coding			NA
ENSAPLT00020010696	protein_coding	PPM1L	protein phosphatase, Mg2+/Mn2+ dependent 1L [Source:NCBI gene;Acc:101805098]	101805098
ENSAPLT00020010697	protein_coding	SUN2	Sad1 and UNC84 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:14210]	NA
ENSAPLT00020010698	protein_coding	CPSF2	cleavage and polyadenylation specific factor 2 [Source:HGNC Symbol;Acc:HGNC:2325]	NA
ENSAPLT00020010699	protein_coding			NA
ENSAPLT00020010700	protein_coding	ITPR2	inositol 1,4,5-trisphosphate receptor type 2 [Source:HGNC Symbol;Acc:HGNC:6181]	NA
ENSAPLT00020010701	protein_coding	PDE1A	phosphodiesterase 1A [Source:HGNC Symbol;Acc:HGNC:8774]	NA
ENSAPLT00020010702	protein_coding	TMEM127	transmembrane protein 127 [Source:HGNC Symbol;Acc:HGNC:26038]	NA
ENSAPLT00020010703	protein_coding		serine palmitoyltransferase small subunit B-like [Source:NCBI gene;Acc:113844510]	113844510
ENSAPLT00020010704	protein_coding	TTLL7	tubulin tyrosine ligase like 7 [Source:HGNC Symbol;Acc:HGNC:26242]	NA
ENSAPLT00020010705	protein_coding	ITPR2	inositol 1,4,5-trisphosphate receptor type 2 [Source:HGNC Symbol;Acc:HGNC:6181]	NA
ENSAPLT00020010707	protein_coding	GCN1	GCN1 activator of EIF2AK4 [Source:HGNC Symbol;Acc:HGNC:4199]	NA
ENSAPLT00020010708	protein_coding			NA
ENSAPLT00020010710	protein_coding	GCN1	GCN1 activator of EIF2AK4 [Source:HGNC Symbol;Acc:HGNC:4199]	NA
ENSAPLT00020010711	protein_coding			NA
ENSAPLT00020010712	protein_coding			NA
ENSAPLT00020010713	protein_coding	PPP1R1C	protein phosphatase 1 regulatory inhibitor subunit 1C [Source:HGNC Symbol;Acc:HGNC:14940]	NA
ENSAPLT00020010714	protein_coding	SSPN	sarcospan [Source:NCBI gene;Acc:101792524]	101792524
ENSAPLT00020010715	protein_coding	SUN2	Sad1 and UNC84 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:14210]	NA
ENSAPLT00020010716	protein_coding			NA
ENSAPLT00020010717	protein_coding	TTLL7	tubulin tyrosine ligase like 7 [Source:HGNC Symbol;Acc:HGNC:26242]	NA
ENSAPLT00020010718	protein_coding	BHLHE41	basic helix-loop-helix family member e41 [Source:NCBI gene;Acc:113842452]	113842452
ENSAPLT00020010719	protein_coding			NA
ENSAPLT00020010720	protein_coding	RAB35	RAB35, member RAS oncogene family [Source:NCBI gene;Acc:101789556]	101789556
ENSAPLT00020010721	protein_coding	TRIP11	thyroid hormone receptor interactor 11 [Source:HGNC Symbol;Acc:HGNC:12305]	NA
ENSAPLT00020010722	protein_coding			NA
ENSAPLT00020010723	protein_coding			NA
ENSAPLT00020010724	protein_coding	RASSF8	Ras association domain family member 8 [Source:NCBI gene;Acc:101800774]	101800774
ENSAPLT00020010725	protein_coding	GTPBP1	GTP binding protein 1 [Source:NCBI gene;Acc:101800111]	101800111
ENSAPLT00020010727	lncRNA			NA
ENSAPLT00020010728	lncRNA			NA
ENSAPLT00020010729	protein_coding	LMNTD1	lamin tail domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26683]	NA
ENSAPLT00020010730	protein_coding	BICDL1	BICD family like cargo adaptor 1 [Source:HGNC Symbol;Acc:HGNC:28095]	NA
ENSAPLT00020010731	protein_coding			NA
ENSAPLT00020010732	protein_coding	GTPBP1	GTP binding protein 1 [Source:NCBI gene;Acc:101800111]	101800111
ENSAPLT00020010733	protein_coding	BPIFB4	BPI fold containing family B member 4 [Source:HGNC Symbol;Acc:HGNC:16179]	NA
ENSAPLT00020010734	protein_coding	FBLN5	fibulin 5 [Source:NCBI gene;Acc:101799982]	101799982
